Rótulo,Horario,Dirección,Código postal,Precio gases licuados del petroleo,Precio gasoleo A,Precio gasolina 95 protección,Precio gasolina 98,Precio nuevo gasoleo A,lat,lon
"SHELL","L-D: 06:00-22:00","CARRETERA M-603 KM. 14,900",28100,,1.919,,,,40.528806,-3.651583
"BP EL SAPO-ALCOBENDAS","L-D: 06:00-13:59 y 14:00-22:00","AVENIDA MONTE DE VALDELATAS, 5",28100,,1.889,,,,40.528722,-3.659667
"BP VALDAVIA","L-D: 24H","CALLE MARQUES DE LA VALDAVIA (DEL), 138",28100,,1.889,,,,40.546944,-3.653944
"BP JUNCAL","L-D: 24H","CARRETERA BARAJAS KM. S/N",28100,,1.889,,,,40.534083,-3.618944
"GALP","L-D: 07:00-23:00","CARRETERA ANTIGUA NACIONAL I KM. 15,5",28100,0.899,1.869,,,,40.532806,-3.642250
"GALP","L-D: 24H","AVENIDA VALDELAPARRA (DE), 5",28100,,1.869,,,,40.548306,-3.662056
"SHELL","L-S: 06:00-22:00; D: 09:00-17:00","AVENIDA VALDELAPARRA, 3",28100,,1.929,,,,40.537250,-3.643194
"CARREFOUR","L-D: 24H","CARRETERA A-1 KM. 14,500",28100,,1.869,,,,40.528194,-3.649417
"BALLENOIL","L-D: 24H","CALLE VALGRANDE, 30",28100,,1.869,,,,40.539583,-3.654139
"CEPSA","L-V: 07:00-23:00; S-D: 09:00-21:00","AVENIDA EUROPA (C.C. LA MORALEJA), 13/15",28100,,1.929,,,,40.520111,-3.657528
"CEPSA","L-D: 07:00-23:00","PASEO ALCOBENDAS (DE), 10",28100,,1.869,,,,40.527889,-3.622306
"PETROPRIX","L-D: 24H","AVENIDA MARQUES DE LA VALDAVIA, 132",28100,,1.859,,,,40.546556,-3.651861
"REPSOL","L-D: 24H","CL AVENIDA DE ESPAÑA, S.N.",28100,0.959,1.859,,,,40.546167,-3.634639
"REPSOL","L-D: 06:00-00:00","CR M-603, 14,1",28100,,1.849,,,,40.525778,-3.654889
"REPSOL","L-D: 06:00-22:00","CL BOULEVARD SALVADOR ALLENDE, 12-1",28108,,1.849,,,,40.537500,-3.633944
"REPSOL","L-S: 06:00-23:00; D: 07:00-23:00","BULEVAR SALVADOR ALLENDE (DE), 13",28108,,1.849,,,,40.537750,-3.634389
"PETROPRIX","L-D: 24H","CALLE VALGRANDE, 11",28108,,1.859,,,,40.536389,-3.649750
"ALCAMPO","L-D: 24H","AVENIDA OLIMPICA, 9",28108,,1.869,,,,40.535194,-3.636806
"REPSOL","L-V: 06:00-22:00; S: 07:00-14:00","CALLE FRANCISCO GERVAS, 13",28108,,1.859,,,,40.533722,-3.652250
"COMBUS","L-V: 08:00-19:00","CARRETERA FUENCARRAL KM. 100",28108,,1.889,,,,40.521944,-3.660889
"REPSOL","L-V: 07:00-22:00; S: 07:00-15:00 y 17:00-22:00; D: 09:00-15:00","PLAZA MORALEJA S/N, S/N",28109,,1.879,,,,40.515639,-3.651083
"CEPSA","L-D: 24H","N-I (MADRID-BURGOS) km 24,100",28700,,1.889,,,,40.590889,-3.581778
"CEPSA","L-D: 24H","AVENIDA TENERIFE (DE), 14",28700,,1.829,,,,40.559528,-3.621750
"REPSOL","L-D: 06:00-22:00","CL REAL  (ANTIGUA N-1), 120",28700,,1.845,,,,40.552500,-3.618861
"REPSOL","L-D: 06:00-22:00","CL AVDA TENERIFE, 18",28700,,1.845,,,,40.560250,-3.620056
"REPSOL","L-D: 07:00-23:00","AVENIDA EINSTEIN, 5",28700,0.959,1.839,,,,40.544417,-3.610167
"REPSOL","L-D: 24H","CR N-1, 18,6",28700,0.959,1.839,,,,40.545778,-3.606500
"BP ","L-D: 06:00-00:00","GLORIETA ANTONIO GAUDI, ",28700,,1.879,,,,40.557833,-3.612611
"BALLENOIL","L-D: 24H","AVENIDA MATAPIÑONERA, 20",28700,,1.879,,,,40.545806,-3.617750
"BALLENOIL","L-D: 24H","AVENIDA TENERIFE, 10",28700,,1.829,,,,40.559389,-3.622861
"SETOR","L-V: 06:00-23:00; S-D: 07:00-00:00","N-I  (BURGOS-MADRID) km 24,100",28700,,1.859,,,,40.590944,-3.583417
"CEPSA","L-D: 24H","CTRA. BURGOS",28700,0.929,1.909,,,,40.590500,-3.582583
"GALP","L-D: 24H","AUTOVIA NACIONAL I KM. 26,200",28700,,1.899,,,,40.608694,-3.579000
"SHELL","L-D: 06:00-00:00","CARRETERA ANTIGUA N-I CV CAMINO REDESA KM. S/N",28700,0.929,1.879,,,,40.565556,-3.605472
"SHELL","L-D: 06:00-00:00","AVENIDA FUENTENUEVA, 1",28700,,1.879,,,,40.547750,-3.610750
"PETROPRIX","L-D: 24H","AVENIDA FUENTE NUEVA, 18",28700,,1.855,,,,40.547667,-3.612472
"BALLENOIL","L-D: 24H","PASEO EUROPA, 22",28700,,1.879,,,,40.545917,-3.622917
"HAM","L-D: 24H","AUTOVIA NACIONAL I KM. 26,200",28700,,,,,,40.608417,-3.578833
"BALLENOIL","L-D: 24H","AVENIDA PIRINEOS (DE LOS), 21",28700,,1.879,,,,40.551972,-3.610083
