id,id_via,title,tipo_via,numero,parcela,coordenada_x_utm,coordenada_y_utm
1,18500, MARTON Y GAVIN,CALLE,10,"74483,13258",674483.0,4613258.0
22,21205, DE LOS OLVIDADOS,PASEO,29,"73372,09872",673372.0,4609872.0
25,2200, ARCADAS,CALLE,26,"77381,13536",677381.0,4613536.0
30,24663, LA QUIMERA DEL ORO,CALLE,38,"73515,09866",673515.0,4609866.0
34,25225, LA REINA DE AFRICA,CALLE,13,"73515,09866",673515.0,4609866.0
43,25225, LA REINA DE AFRICA,CALLE,9,"73420,09942",673420.0,4609942.0
51,21205, DE LOS OLVIDADOS,PASEO,27,"73420,09942",673420.0,4609942.0
54,9710, EL DOCTOR MABUSE,CALLE,39,"73315,09603",673315.0,4609603.0
57,9710, EL DOCTOR MABUSE,CALLE,45,"73315,09603",673315.0,4609603.0
78,33173, LA VENTANA INDISCRETA,CALLE,38,"7366,09667",67366.0,4609667.0
83,11399, EL EXPRESO DE SHANGAI,CALLE,15,"73366,09667",673366.0,4609667.0
87,31700, TERMINILLO,CALLE,44,"74315,13301",674315.0,4613301.0
91,16100, LARACHE,CALLE,15,"77138,11242",677138.0,4611242.0
100,30000, SAN VIATOR,CALLE,1,"76935,10911",676935.0,4610911.0
123,24140, PREDICADORES,CALLE,23,"76297,14080",676297.0,4614080.0
129,9236, DESAYUNO CON DIAMANTES,CALLE,27,"72574,10035",672574.0,4610035.0
138,5767, CANAL IMPERIAL DE ARAGON,RONDA,14,"68554,13071",668554.0,4613071.0
151,25225, LA REINA DE AFRICA,CALLE,18,"73468,09801",673468.0,4609801.0
152,25225, LA REINA DE AFRICA,CALLE,20,"73468,09801",673468.0,4609801.0
153,25225, LA REINA DE AFRICA,CALLE,22,"73468,09801",673468.0,4609801.0
167,1590, EL ANGEL AZUL,CALLE,10,"72993,09844",672993.0,4609844.0
168,7595, CIUDADANO KANE,CALLE,33,"72993,09844",672993.0,4609844.0
173,9710, EL DOCTOR MABUSE,CALLE,9,"72993,09844",672993.0,4609844.0
179,9236, DESAYUNO CON DIAMANTES,CALLE,21,"72608,10112",672608.0,4610112.0
180,9236, DESAYUNO CON DIAMANTES,CALLE,23,"72608,10112",672608.0,4610112.0
198,33173, LA VENTANA INDISCRETA,CALLE,32,"73268,09741",673268.0,4609741.0
227,23420, PINSEQUE,CAMINO,100,"69163,16148",669163.0,4616148.0
244,21785, LOS PAJAROS,CALLE,11,"73244,09970",673244.0,4609970.0
245,21785, LOS PAJAROS,CALLE,13,"73244,09970",673244.0,4609970.0
247,21785, LOS PAJAROS,CALLE,17,"73244,09970",673244.0,4609970.0
294,7595, CIUDADANO KANE,CALLE,29,"73044,09911",673044.0,4609911.0
303,2925, ATRACO A LAS TRES,CALLE,4,"73396,10171",673396.0,4610171.0
309,3985, BELLE EPOQUE,CALLE,31,"73396,10171",673396.0,4610171.0
310,17410, LUCES DE LA CIUDAD,CALLE,17,"73396,10171",673396.0,4610171.0
311,17410, LUCES DE LA CIUDAD,CALLE,15,"73396,10171",673396.0,4610171.0
321,15555, JUAN PABLO II,AVENIDA,43,"74241,12139",674241.0,4612139.0
325,15320, JESUS,CALLE,3,"77248,14241",677248.0,4614241.0
355,4218, MARIANO BIEL,CALLE,4,"75044,18024",675044.0,4618024.0
393,24663, LA QUIMERA DEL ORO,CALLE,4,"73196,10112",673196.0,4610112.0
399,7595, CIUDADANO KANE,CALLE,11,"73196,10112",673196.0,4610112.0
400,24506, LOS PUENTES DE MADISON,CALLE,21,"72675,10266",672675.0,4610266.0
403,24506, LOS PUENTES DE MADISON,CALLE,27,"72675,10266",672675.0,4610266.0
407,9236, DESAYUNO CON DIAMANTES,CALLE,9,"72675,10266",672675.0,4610266.0
408,9236, DESAYUNO CON DIAMANTES,CALLE,11,"72675,10266",672675.0,4610266.0
423,13846, EL HALCON MALTES,CALLE,6,"73146,10045",673146.0,4610045.0
465,6290, CASABLANCA,AVENIDA,8,"72643,09909",672643.0,4609909.0
468,9325, LA DILIGENCIA,CALLE,5,"72643,09909",672643.0,4609909.0
472,17410, LUCES DE LA CIUDAD,CALLE,21,"73522,10076",673522.0,4610076.0
474,17410, LUCES DE LA CIUDAD,CALLE,25,"73522,10076",673522.0,4610076.0
477,5438, CALABUCH,CALLE,6,"73522,10076",673522.0,4610076.0
